name,X,Y,Z,Soil_ID,,,,,
80G,675825.0176,1329525.667,618.364,3,,,,,
80G,675825.0176,1329525.667,450,3,,,,,
81G,676026.8125,1312994.378,818,1,,,,,
81G,676026.8125,1312994.378,793.616,3,,,,,
81G,676026.8125,1312994.378,763.136,2,,,,,
81G,676026.8125,1312994.378,763.036,3,,,,,
81G,676026.8125,1312994.378,659.504,2,,,,,
81G,676026.8125,1312994.378,659.404,3,,,,,
81G,676026.8125,1312994.378,450,3,,,,,
82G,676089.4559,1299806.02,889,1,,,,,
82G,676089.4559,1299806.02,870.712,3,,,,,
82G,676089.4559,1299806.02,864.616,2,,,,,
82G,676089.4559,1299806.02,864.516,3,,,,,
82G,676089.4559,1299806.02,450,3,,,,,
83G,676110.3442,1327082.128,751,1,,,,,
83G,676110.3442,1327082.128,726.616,3,,,,,
83G,676110.3442,1327082.128,668.704,2,,,,,
83G,676110.3442,1327082.128,668.604,3,,,,,
83G,676110.3442,1327082.128,450,3,,,,,
84G,676239.8061,1296957.775,904,1,,,,,
84G,676239.8061,1296957.775,879.616,3,,,,,
84G,676239.8061,1296957.775,873.52,2,,,,,
84G,676239.8061,1296957.775,873.42,3,,,,,
84G,676239.8061,1296957.775,450,3,,,,,
85G,676286.6865,1312655.867,807,1,,,,,
85G,676286.6865,1312655.867,799.38,3,,,,,
85G,676286.6865,1312655.867,782.616,2,,,,,
85G,676286.6865,1312655.867,782.516,3,,,,,
85G,676286.6865,1312655.867,739.944,2,,,,,
85G,676286.6865,1312655.867,739.844,3,,,,,
85G,676286.6865,1312655.867,450,3,,,,,
86G,676287.3165,1301218.254,836,1,,,,,
86G,676287.3165,1301218.254,823.808,3,,,,,
86G,676287.3165,1301218.254,738.464,2,,,,,
86G,676287.3165,1301218.254,738.364,3,,,,,
86G,676287.3165,1301218.254,450,3,,,,,
87G,676313.0516,1331952.541,709,1,,,,,
87G,676313.0516,1331952.541,687.664,3,,,,,
87G,676313.0516,1331952.541,672.424,2,,,,,
87G,676313.0516,1331952.541,672.324,3,,,,,
87G,676313.0516,1331952.541,535.264,2,,,,,
87G,676313.0516,1331952.541,535.164,3,,,,,
87G,676313.0516,1331952.541,450,3,,,,,
88G,676367.1654,1313379.367,810,1,,,,,
88G,676367.1654,1313379.367,797.808,3,,,,,
88G,676367.1654,1313379.367,773.424,2,,,,,
88G,676367.1654,1313379.367,773.324,3,,,,,
88G,676367.1654,1313379.367,712.464,2,,,,,
88G,676367.1654,1313379.367,712.364,3,,,,,
88G,676367.1654,1313379.367,450,3,,,,,
89G,676410.3007,1315498.448,837,1,,,,,
89G,676410.3007,1315498.448,818.712,3,,,,,
89G,676410.3007,1315498.448,812.616,2,,,,,
89G,676410.3007,1315498.448,812.516,3,,,,,
89G,676410.3007,1315498.448,450,3,,,,,
90G,676462.4207,1321577.532,802,1,,,,,
90G,676462.4207,1321577.532,774.568,3,,,,,
90G,676462.4207,1321577.532,719.704,2,,,,,
90G,676462.4207,1321577.532,719.604,3,,,,,
90G,676462.4207,1321577.532,450,3,,,,,
91G,676489.0764,1329095.829,717,1,,,,,
91G,676489.0764,1329095.829,695.664,3,,,,,
91G,676489.0764,1329095.829,662.136,2,,,,,
91G,676489.0764,1329095.829,662.036,3,,,,,
91G,676489.0764,1329095.829,450,3,,,,,
92G,676489.9867,1306280.916,860,1,,,,,
92G,676489.9867,1306280.916,835.616,3,,,,,
92G,676489.9867,1306280.916,777.704,2,,,,,
92G,676489.9867,1306280.916,777.604,3,,,,,
